#START
 -87.50 -82.50 -77.50 -72.50 -67.50 -62.50 -57.50 -52.50 -47.50 -42.50 -37.50 -32.50 -27.50 -22.50 -17.50 -12.50  -7.50  -2.50   2.50   7.50  12.50  17.50  22.50  27.50  32.50  37.50  42.50  47.50  52.50  57.50  62.50  67.50  72.50  77.50  82.50  87.50
   2003      8      1      0      0      0 0.2132 0.2419 0.2696 0.2962 0.3216 0.3456 0.3682 0.3892 0.4086 0.4263 0.4423 0.4564 0.4685 0.4788 0.4870 0.4932 0.4974 0.4995 0.4995 0.4974 0.4932 0.4870 0.4788 0.4685 0.4564 0.4423 0.4263 0.4086 0.3892 0.3682 0.3456 0.3216 0.2962 0.2696 0.2419 0.2132
  2003      10      23      0      0      0 0.2132 0.2419 0.2696 0.2962 0.3216 0.3456 0.3682 0.3892 0.4086 0.4263 0.4423 0.4564 0.4685 0.4788 0.4870 0.4932 0.4974 0.4995 0.4995 0.4974 0.4932 0.4870 0.4788 0.4685 0.4564 0.4423 0.4263 0.4086 0.3892 0.3682 0.3456 0.3216 0.2962 0.2696 0.2419 0.2132
