#START
2014 10 18 20 00 00 0.00189802	0.00116754	0.000647187	0.000460568	0.000333757	0.000184523	0.000134293	0.000114958	0.000237609	6.99449e-05	0.000181633	0.00412974	0.000124828	6.25065e-05	6.13633e-05	2.75337e-05	6.24624e-05	7.1092e-05	3.4435e-05	8.36705e-05	8.20592e-05	0.000106945	7.29693e-05	1.18051e-05	1.37793e-05	1.05446e-05	1.17661e-05	7.60856e-06	7.49668e-06	7.54313e-06	1.56268e-05	3.49642e-05	1.76814e-05	8.52478e-06	3.85359e-05	1.74421e-05	3.15732e-05	3.94503e-05	1.14041e-05	3.37629e-05	3.76795e-05	4.92039e-05	0.000101005	0.000297054	0.000297054	7.5394e-05	6.56634e-05	7.38699e-05	0.00028056	0.000370627	6.84026e-05	0.000241298	7.06987e-05	3.76348e-05	5.1738e-05	5.89237e-05	2.3448e-06	1.1724e-06	5.86201e-07
2014 10 19 20 00 00 0.00189506	0.00116543	0.000645791	0.00045954	0.00033278	0.00018414	0.000133857	0.000114443	0.000236155	6.95271e-05	0.000180213	0.00409608	0.000124249	6.20484e-05	6.08609e-05	2.79025e-05	6.19655e-05	7.04794e-05	3.43889e-05	8.68022e-05	8.15995e-05	0.000105943	7.37474e-05	1.17376e-05	1.37203e-05	1.0486e-05	1.19783e-05	7.83639e-06	7.62127e-06	7.7444e-06	1.5989e-05	3.59889e-05	1.86282e-05	8.81194e-06	3.81261e-05	1.78261e-05	3.2373e-05	4.14582e-05	1.18167e-05	3.58496e-05	4.02235e-05	5.32552e-05	0.000109912	0.000294202	0.000294202	8.1364e-05	7.22506e-05	7.88691e-05	0.000300495	0.000393943	7.27636e-05	0.000259052	7.68932e-05	4.11479e-05	5.72664e-05	6.54851e-05	2.61111e-06	1.30555e-06	6.52777e-07
2014 10 20 20 00 00 0.0018853	0.00115871	0.00064151	0.000456399	0.000329936	0.000182951	0.000132612	0.000113034	0.000232329	6.84254e-05	0.000176544	0.00400938	0.000122674	6.08596e-05	5.95656e-05	2.66027e-05	6.06759e-05	6.88967e-05	3.33762e-05	8.09624e-05	7.929e-05	0.00010334	7.1059e-05	1.15591e-05	1.35518e-05	1.03251e-05	1.15932e-05	7.42063e-06	7.40162e-06	7.37881e-06	1.51668e-05	3.40757e-05	1.68247e-05	8.27694e-06	3.70661e-05	1.71271e-05	3.01234e-05	3.72851e-05	1.1047e-05	3.187e-05	3.53831e-05	4.55294e-05	9.29043e-05	0.000286971	0.000286971	6.99576e-05	5.95998e-05	6.93473e-05	0.000262448	0.000349649	6.44672e-05	0.000225539	6.55618e-05	3.47143e-05	4.712e-05	5.34352e-05	2.12191e-06	1.06096e-06	5.30478e-07
2014 10 21 20 00 00 0.00187824	0.00115381	0.000638371	0.000454092	0.000327829	0.000182081	0.000131688	0.00011198	0.000229448	6.75961e-05	0.00017377	0.0039438	0.000121494	5.99618e-05	5.85857e-05	2.62368e-05	5.97007e-05	6.76985e-05	3.28562e-05	8.03587e-05	7.78489e-05	0.000101367	7.03076e-05	1.14249e-05	1.34256e-05	1.02041e-05	1.1557e-05	7.38023e-06	7.38278e-06	7.34385e-06	1.50264e-05	3.38782e-05	1.66272e-05	8.22186e-06	3.62616e-05	1.70603e-05	2.96068e-05	3.66982e-05	1.09675e-05	3.14325e-05	3.48534e-05	4.46782e-05	9.10234e-05	0.00028149	0.00028149	6.86956e-05	5.81812e-05	6.83027e-05	0.000258253	0.000344822	6.35601e-05	0.000222116	6.46664e-05	3.42036e-05	4.63075e-05	5.24681e-05	2.0826e-06	1.0413e-06	5.20651e-07
2014 10 22 20 00 00 0.00189659	0.00116615	0.000646002	0.000459667	0.000332682	0.000184213	0.000133778	0.000114258	0.000235437	6.93246e-05	0.000179408	0.0040766	0.00012403	6.17963e-05	6.05703e-05	2.84547e-05	6.16845e-05	7.01211e-05	3.44961e-05	9.07515e-05	8.14899e-05	0.000105351	7.4929e-05	1.17059e-05	1.37035e-05	1.04616e-05	1.22526e-05	8.12858e-06	7.78575e-06	8.00357e-06	1.64702e-05	3.72817e-05	1.98014e-05	9.17453e-06	3.78739e-05	1.83206e-05	3.34635e-05	4.3989e-05	1.23371e-05	3.84316e-05	4.33759e-05	5.82642e-05	0.00012091	0.000292421	0.000292421	8.87353e-05	8.03473e-05	8.50593e-05	0.000325138	0.000422876	7.81694e-05	0.000264304	6.30227e-05	3.32683e-05	4.48261e-05	5.07067e-05	2.01106e-06	1.00553e-06	5.02764e-07
2014 10 23 20 00 00 0.00186674	0.00114579	0.000633208	0.000450294	0.000324336	0.000180651	0.000130153	0.000110219	0.000224616	6.62056e-05	0.000169105	0.00383349	0.000119522	5.84532e-05	5.69374e-05	2.54634e-05	5.80605e-05	6.56819e-05	3.19185e-05	7.83725e-05	7.53427e-05	9.80434e-05	6.87204e-05	1.12e-05	1.32147e-05	1.00012e-05	1.14332e-05	7.24304e-06	7.31503e-06	7.22431e-06	1.4668e-05	3.32304e-05	1.59955e-05	8.04051e-06	3.4905e-05	1.68327e-05	2.84314e-05	3.50481e-05	1.07058e-05	3.0034e-05	3.31549e-05	4.19551e-05	8.50168e-05	0.00027226	0.00027226	6.46688e-05	5.36823e-05	6.49577e-05	0.000244852	0.000329317	6.06513e-05	0.000210856	6.13791e-05	3.2333e-05	4.33447e-05	4.89453e-05	1.93951e-06	9.69754e-07	4.84877e-07
2014 10 24 20 00 00 0.00190271	0.00117009	0.000648306	0.000461332	0.000334015	0.000184864	0.000134333	0.000114808	0.000236762	6.97096e-05	0.000180582	0.004104	0.000124637	6.21843e-05	6.09796e-05	2.78425e-05	6.20977e-05	7.0617e-05	3.44083e-05	8.63383e-05	8.16988e-05	0.000106159	7.36726e-05	1.17692e-05	1.37725e-05	1.05209e-05	1.19627e-05	7.81961e-06	7.62473e-06	7.73228e-06	1.59425e-05	3.58252e-05	1.84179e-05	8.7696e-06	3.81933e-05	1.77973e-05	3.21842e-05	4.10015e-05	1.17549e-05	3.53812e-05	3.96784e-05	5.23617e-05	0.000107907	0.000294586	0.000294586	8.0001e-05	7.06307e-05	7.77784e-05	0.000296003	0.000389062	7.18284e-05	0.000244185	6.15128e-05	3.24069e-05	4.34549e-05	4.9074e-05	1.94469e-06	9.72347e-07	4.86174e-07
2014 10 25 20 00 00 0.00190899	0.00117424	0.000650822	0.000463163	0.000335564	0.00018557	0.000134994	0.000115507	0.000238555	7.02279e-05	0.000182242	0.00414298	0.000125413	6.27265e-05	6.1562e-05	2.77395e-05	6.26807e-05	7.13254e-05	3.45903e-05	8.47652e-05	8.2389e-05	0.000107317	7.34516e-05	1.18537e-05	1.38576e-05	1.05983e-05	1.18557e-05	7.71281e-06	7.56841e-06	7.6382e-06	1.57842e-05	3.52911e-05	1.79131e-05	8.62408e-06	3.8659e-05	1.76095e-05	3.18587e-05	3.99845e-05	1.15465e-05	3.4274e-05	3.83497e-05	5.02482e-05	0.000103248	0.000297765	0.000297765	7.68542e-05	6.7118e-05	7.51559e-05	0.000285484	0.000376912	6.9544e-05	0.000237432	6.16465e-05	3.24807e-05	4.3565e-05	4.92028e-05	1.94988e-06	9.74941e-07	4.87471e-07
2014 10 26 20 00 00 0.00190521	0.00117157	0.000649077	0.000461874	0.000334358	0.000185087	0.000134462	0.000114888	0.000236843	6.97357e-05	0.000180578	0.00410361	0.000124719	6.21894e-05	6.09735e-05	2.77677e-05	6.20947e-05	7.06035e-05	3.43782e-05	8.59576e-05	8.1647e-05	0.000106122	7.34902e-05	1.17742e-05	1.37828e-05	1.05259e-05	1.19313e-05	7.80506e-06	7.6181e-06	7.7193e-06	1.58973e-05	3.56583e-05	1.82538e-05	8.73164e-06	3.81698e-05	1.77546e-05	3.20203e-05	4.06566e-05	1.17024e-05	3.50339e-05	3.92973e-05	5.17677e-05	0.000106583	0.000294465	0.000294465	7.90628e-05	6.95331e-05	7.70082e-05	0.000292826	0.000385601	7.11596e-05	0.000242284	6.17801e-05	3.25545e-05	4.36752e-05	4.93315e-05	1.95507e-06	9.77535e-07	4.88767e-07
2014 10 27 20 00 00 0.00190391	0.00117058	0.000648385	0.000461356	0.000333836	0.000184898	0.000134226	0.000114597	0.000236005	6.94951e-05	0.000179744	0.00408378	0.000124391	6.19214e-05	6.06769e-05	2.79115e-05	6.18001e-05	7.02383e-05	3.43235e-05	8.7376e-05	8.13362e-05	0.000105514	7.37696e-05	1.17356e-05	1.37477e-05	1.04908e-05	1.20218e-05	7.9135e-06	7.6764e-06	7.81463e-06	1.60583e-05	3.60995e-05	1.8664e-05	8.8599e-06	3.79186e-05	1.79268e-05	3.23457e-05	4.15261e-05	1.18881e-05	3.5947e-05	4.04315e-05	5.35849e-05	0.000110573	0.000292782	0.000292782	8.17107e-05	7.24347e-05	7.92273e-05	0.000301635	0.000395998	7.30949e-05	0.000248088	6.19138e-05	3.26284e-05	4.37853e-05	4.94602e-05	1.96026e-06	9.80128e-07	4.90064e-07
